Day,Visits
07/01/2010,0
07/02/2010,0
07/03/2010,0
07/04/2010,0
07/05/2010,0
07/06/2010,0
07/07/2010,0
07/08/2010,0
07/09/2010,0
07/10/2010,0
07/11/2010,0
07/12/2010,0
7/13/10,0
7/14/10,0
7/15/10,0
7/16/10,0
7/17/10,0
7/18/10,0
7/19/10,0
7/20/10,0
7/21/10,0
7/22/10,0
7/23/10,0
7/24/10,0
7/25/10,0
7/26/10,0
7/27/10,0
7/28/10,0
7/29/10,0
7/30/10,0
7/31/10,0
08/01/2010,0
08/02/2010,0
08/03/2010,0
08/04/2010,0
08/05/2010,0
08/06/2010,0
08/07/2010,0
08/08/2010,0
08/09/2010,0
08/10/2010,0
08/11/2010,0
08/12/2010,0
8/13/10,0
8/14/10,0
8/15/10,0
8/16/10,0
8/17/10,0
8/18/10,0
8/19/10,0
8/20/10,0
8/21/10,0
8/22/10,0
8/23/10,0
8/24/10,0
8/25/10,0
8/26/10,0
8/27/10,0
8/28/10,0
8/29/10,0
8/30/10,0
8/31/10,0
09/01/2010,0
09/02/2010,0
09/03/2010,0
09/04/2010,0
09/05/2010,0
09/06/2010,0
09/07/2010,0
09/08/2010,0
09/09/2010,0
09/10/2010,0
09/11/2010,0
09/12/2010,0
9/13/10,0
9/14/10,0
9/15/10,0
9/16/10,0
9/17/10,0
9/18/10,0
9/19/10,0
9/20/10,0
9/21/10,0
9/22/10,0
9/23/10,0
9/24/10,0
9/25/10,0
9/26/10,0
9/27/10,0
9/28/10,0
9/29/10,0
9/30/10,0
10/01/2010,0
10/02/2010,0
10/03/2010,0
10/04/2010,0
10/05/2010,0
10/06/2010,0
10/07/2010,0
10/08/2010,0
10/09/2010,0
10/10/2010,0
10/11/2010,0
10/12/2010,0
10/13/10,0
10/14/10,0
10/15/10,0
10/16/10,0
10/17/10,0
10/18/10,0
10/19/10,0
10/20/10,0
10/21/10,0
10/22/10,0
10/23/10,0
10/24/10,0
10/25/10,0
10/26/10,0
10/27/10,0
10/28/10,0
10/29/10,0
10/30/10,0
10/31/10,0
11/01/2010,0
11/02/2010,0
11/03/2010,0
11/04/2010,0
11/05/2010,0
11/06/2010,0
11/07/2010,0
11/08/2010,0
11/09/2010,0
11/10/2010,0
11/11/2010,0
11/12/2010,0
11/13/10,0
11/14/10,0
11/15/10,0
11/16/10,0
11/17/10,0
11/18/10,0
11/19/10,0
11/20/10,0
11/21/10,0
11/22/10,0
11/23/10,0
11/24/10,0
11/25/10,0
11/26/10,0
11/27/10,0
11/28/10,0
11/29/10,0
11/30/10,0
12/01/2010,0
12/02/2010,0
12/03/2010,0
12/04/2010,0
12/05/2010,0
12/06/2010,0
12/07/2010,0
12/08/2010,0
12/09/2010,0
12/10/2010,0
12/11/2010,0
12/12/2010,0
12/13/10,0
12/14/10,0
12/15/10,0
12/16/10,0
12/17/10,0
12/18/10,0
12/19/10,0
12/20/10,0
12/21/10,0
12/22/10,0
12/23/10,0
12/24/10,0
12/25/10,0
12/26/10,0
12/27/10,0
12/28/10,0
12/29/10,0
12/30/10,0
12/31/10,0
01/01/2011,0
01/02/2011,0
01/03/2011,0
01/04/2011,0
01/05/2011,0
01/06/2011,0
01/07/2011,0
01/08/2011,0
01/09/2011,0
01/10/2011,0
01/11/2011,0
01/12/2011,0
1/13/11,0
1/14/11,0
1/15/11,0
1/16/11,0
1/17/11,0
1/18/11,0
1/19/11,0
1/20/11,0
1/21/11,0
1/22/11,0
1/23/11,0
1/24/11,0
1/25/11,0
1/26/11,0
1/27/11,0
1/28/11,0
1/29/11,0
1/30/11,0
1/31/11,0
02/01/2011,0
02/02/2011,0
02/03/2011,0
02/04/2011,0
02/05/2011,0
02/06/2011,0
02/07/2011,0
02/08/2011,0
02/09/2011,0
02/10/2011,0
02/11/2011,0
02/12/2011,0
2/13/11,0
2/14/11,0
2/15/11,0
2/16/11,0
2/17/11,0
2/18/11,0
2/19/11,0
2/20/11,0
2/21/11,0
2/22/11,0
2/23/11,0
2/24/11,0
2/25/11,0
2/26/11,0
2/27/11,0
2/28/11,0
03/01/2011,0
03/02/2011,0
03/03/2011,0
03/04/2011,0
03/05/2011,0
03/06/2011,0
03/07/2011,0
03/08/2011,0
03/09/2011,0
03/10/2011,0
03/11/2011,0
03/12/2011,0
3/13/11,0
3/14/11,12
3/15/11,25
3/16/11,18
3/17/11,22
3/18/11,20
3/19/11,12
3/20/11,24
3/21/11,40
3/22/11,28
3/23/11,40
3/24/11,29
3/25/11,19
3/26/11,19
3/27/11,17
3/28/11,35
3/29/11,33
3/30/11,29
3/31/11,19
04/01/2011,26
04/02/2011,9
04/03/2011,9
04/04/2011,48
04/05/2011,36
04/06/2011,33
04/07/2011,33
04/08/2011,22
04/09/2011,15
04/10/2011,23
04/11/2011,35
04/12/2011,35
4/13/11,50
4/14/11,35
4/15/11,21
4/16/11,10
4/17/11,21
4/18/11,30
4/19/11,31
4/20/11,29
4/21/11,22
4/22/11,16
4/23/11,6
4/24/11,10
4/25/11,23
4/26/11,35
4/27/11,40
4/28/11,21
4/29/11,23
4/30/11,7
05/01/2011,19
05/02/2011,42
05/03/2011,30
05/04/2011,43
05/05/2011,29
05/06/2011,17
05/07/2011,9
05/08/2011,16
05/09/2011,38
05/10/2011,43
05/11/2011,26
05/12/2011,37
5/13/11,29
5/14/11,13
5/15/11,22
5/16/11,31
5/17/11,31
5/18/11,43
5/19/11,29
5/20/11,32
5/21/11,11
5/22/11,18
5/23/11,29
5/24/11,37
5/25/11,34
5/26/11,25
5/27/11,36
5/28/11,18
5/29/11,14
5/30/11,28
5/31/11,33
06/01/2011,24
06/02/2011,28
06/03/2011,23
06/04/2011,10
06/05/2011,15
06/06/2011,27
06/07/2011,22
06/08/2011,29
06/09/2011,34
06/10/2011,15
06/11/2011,11
06/12/2011,9
6/13/11,38
6/14/11,36
6/15/11,31
6/16/11,23
6/17/11,26
6/18/11,10
6/19/11,21
6/20/11,24
6/21/11,29
6/22/11,34
6/23/11,28
6/24/11,22
6/25/11,13
6/26/11,15
6/27/11,36
6/28/11,24
6/29/11,29
6/30/11,34
07/01/2011,22
07/02/2011,13
07/03/2011,12
07/04/2011,17
07/05/2011,13
07/06/2011,12
07/07/2011,17
07/08/2011,28
07/09/2011,6
07/10/2011,16
07/11/2011,28
07/12/2011,31
7/13/11,19
7/14/11,33
7/15/11,16
7/16/11,4
7/17/11,11
7/18/11,24
7/19/11,37
7/20/11,32
7/21/11,24
7/22/11,24
7/23/11,14
7/24/11,18
7/25/11,36
7/26/11,35
7/27/11,25
7/28/11,29
7/29/11,19
7/30/11,9
7/31/11,11
08/01/2011,30
08/02/2011,28
08/03/2011,36
08/04/2011,18
08/05/2011,13
08/06/2011,7
08/07/2011,11
08/08/2011,37
08/09/2011,34
08/10/2011,30
08/11/2011,14
08/12/2011,21
8/13/11,16
8/14/11,12
8/15/11,22
8/16/11,24
8/17/11,34
8/18/11,21
8/19/11,20
8/20/11,12
8/21/11,19
8/22/11,25
8/23/11,31
8/24/11,37
8/25/11,23
8/26/11,18
8/27/11,19
8/28/11,17
8/29/11,27
8/30/11,18
8/31/11,25
09/01/2011,23
09/02/2011,19
09/03/2011,15
09/04/2011,17
09/05/2011,26
09/06/2011,36
09/07/2011,28
09/08/2011,32
09/09/2011,17
09/10/2011,12
09/11/2011,17
09/12/2011,26
9/13/11,35
9/14/11,42
9/15/11,18
9/16/11,28
9/17/11,18
9/18/11,15
9/19/11,33
9/20/11,37
9/21/11,31
9/22/11,31
9/23/11,24
9/24/11,11
9/25/11,13
9/26/11,32
9/27/11,28
9/28/11,13
9/29/11,24
9/30/11,37
10/01/2011,13
10/02/2011,19
10/03/2011,38
10/04/2011,30
10/05/2011,38
10/06/2011,31
10/07/2011,28
10/08/2011,16
10/09/2011,24
10/10/2011,43
10/11/2011,26
10/12/2011,24
10/13/11,25
10/14/11,24
10/15/11,17
10/16/11,11
10/17/11,41
10/18/11,30
10/19/11,32
10/20/11,22
10/21/11,24
10/22/11,10
10/23/11,17
10/24/11,29
10/25/11,31
10/26/11,40
10/27/11,31
10/28/11,18
10/29/11,17
10/30/11,22
10/31/11,41
11/01/2011,51
11/02/2011,49
11/03/2011,42
11/04/2011,26
11/05/2011,11
11/06/2011,19
11/07/2011,36
11/08/2011,26
11/09/2011,46
11/10/2011,28
11/11/2011,26
11/12/2011,23
11/13/11,15
11/14/11,35
11/15/11,33
11/16/11,19
11/17/11,18
11/18/11,33
11/19/11,20
11/20/11,14
11/21/11,35
11/22/11,40
11/23/11,50
11/24/11,30
11/25/11,33
11/26/11,9
11/27/11,24
11/28/11,46
11/29/11,27
11/30/11,41
12/01/2011,41
12/02/2011,28
12/03/2011,23
12/04/2011,12
