STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
115190,99999, 20100101,   33.0,12,   30.4,12,  996.0,12,  965.0,12,   6.1,10,   6.3,12,   7.8, 999.9,   38.8*,  29.5*,99.99 ,999.9, 010000,
115190,99999, 20100102,   28.4,16,   23.6,16, 1012.1,16,  980.4,16,   5.6,10,   8.4,16,  13.6,  21.4,   29.7*,  27.1*,99.99 ,999.9, 001000,
115190,99999, 20100103,   27.6,16,   22.7,16, 1020.0,16,  987.9,16,   7.6,10,   5.0,16,   7.8, 999.9,   30.4*,  24.8*,99.99 ,999.9, 001000,
115190,99999, 20100104,   27.2,16,   23.7,16, 1017.3,16,  985.3,16,   6.9,10,   3.3,16,   5.8, 999.9,   28.6*,  24.8*,99.99 ,999.9, 001000,
115190,99999, 20100105,   22.4,16,   18.2,16, 1010.9,16,  978.8,16,   6.0,10,   2.5,16,   5.8, 999.9,   25.5*,  18.1*, 0.00I,999.9, 000000,
115190,99999, 20100106,   26.0,16,   22.0,16, 1004.1,16,  972.5,16,   4.4,10,   4.5,16,   7.8, 999.9,   27.3*,  24.4*,99.99 ,999.9, 010000,
115190,99999, 20100107,   24.9,16,   17.1,16, 1012.4,16,  980.4,16,   8.0,10,   4.7,16,   9.7, 999.9,   27.9*,  23.4*, 0.00I,999.9, 000000,
115190,99999, 20100108,   24.5,16,   21.2,16, 1015.8,16,  983.7,16,   2.9,10,   5.0,16,   9.7, 999.9,   26.1*,  22.8*,99.99 ,999.9, 001000,
115190,99999, 20100109,   24.8,16,   22.7,16, 1009.5,16,  977.6,16,   3.2,10,   5.5,16,   7.8, 999.9,   26.4*,  23.0*,99.99 ,999.9, 011000,
115190,99999, 20100110,   26.8,16,   24.9,16, 1011.1,16,  979.3,16,   3.7,10,   6.1,16,   7.8, 999.9,   28.2*,  24.1*,99.99 ,999.9, 001000,
115190,99999, 20100111,   22.6,16,   19.6,16, 1017.7,16,  985.4,16,   6.2,10,   3.5,16,   7.8, 999.9,   24.3*,  20.3*,99.99 ,999.9, 001000,
115190,99999, 20100112,   19.4,16,   17.0,16, 1020.6,16,  988.0,16,   2.2,10,   2.7,16,   3.9, 999.9,   22.5*,  17.6*, 0.00I,999.9, 000000,
115190,99999, 20100113,   24.6,16,   21.3,16, 1014.7,16,  982.6,16,   0.6,10,   4.9,16,   9.7, 999.9,   29.1*,  19.8*, 0.00I,999.9, 000000,
115190,99999, 20100114,   29.1,16,   23.8,16, 1015.5,16,  983.7,16,   4.7,10,   6.1,16,   7.8, 999.9,   30.2*,  28.0*, 0.00I,999.9, 000000,
115190,99999, 20100115,   30.7,16,   25.0,16, 1025.3,16,  993.3,16,   9.0,10,   4.9,16,   7.8, 999.9,   31.8*,  29.1*, 0.00I,999.9, 000000,
115190,99999, 20100116,   29.6,16,   23.4,16, 1026.6,16,  994.5,16,   8.3,10,   6.4,16,   9.7, 999.9,   31.3*,  23.4*, 0.00I,999.9, 000000,
115190,99999, 20100117,   28.9,16,   26.8,16, 1018.3,16,  986.4,16,   2.1,10,   3.2,16,   5.8, 999.9,   32.0*,  23.4*,99.99 ,999.9, 011000,
115190,99999, 20100118,   35.2,16,   32.7,16, 1024.7,16,  993.1,16,  10.3,10,   4.6,16,   7.8, 999.9,   37.4*,  31.5*,99.99 ,999.9, 010000,
115190,99999, 20100119,   34.8,16,   32.5,16, 1023.3,16,  991.6,16,   5.5,10,   2.9,16,   5.8, 999.9,   37.8*,  32.9*,99.99 ,999.9, 011000,
115190,99999, 20100120,   31.6,16,   27.3,16, 1019.8,16,  988.0,16,   3.5,10,   4.9,16,   7.8, 999.9,   36.0*,  25.2*, 0.00I,999.9, 100000,
115190,99999, 20100121,   22.6,16,   16.8,16, 1025.6,16,  993.0,16,   3.3, 9,   3.5,16,   5.8, 999.9,   26.1*,  19.6*,99.99 ,999.9, 011000,
115190,99999, 20100122,   20.2,16,   13.6,16, 1031.0,16,  998.1,16,   5.0,10,   2.4,16,   5.8, 999.9,   23.2*,  17.2*,99.99 ,999.9, 001000,
115190,99999, 20100123,   17.6,16,   12.4,16, 1030.7,16,  997.6,16,   3.6,10,   3.5,16,   7.8, 999.9,   20.1*,  14.9*,99.99 ,999.9, 001000,
115190,99999, 20100124,   20.1,16,   13.8,16, 1031.1,16,  998.2,16,   4.7,10,   6.3,16,   7.8, 999.9,   23.7*,  16.0*, 0.00I,999.9, 000000,
115190,99999, 20100125,   19.8,16,   13.9,16, 1033.2,16, 1000.2,16,   5.7,10,   7.5,16,  11.7, 999.9,   24.3*,  16.0*,99.99 ,999.9, 001000,
115190,99999, 20100126,   20.7,15,   14.2,15, 1037.4,15, 1004.3,15,   7.1,11,   4.9,15,   7.8, 999.9,   26.8*,  10.4*,99.99 ,999.9, 001000,
