udaj,kod,text,idob,budid
Okres,40924,Praha,1000055248,211780
Městský obvod Prahy,27,Praha 2,1000055248,211780
Obec,554782,Praha,1000055248,211780
Část obce,490156,Nusle,1000055248,211780
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000055248,211780
PSČ a adresní pošta,12800,Praha 28,1000055248,211780
Ulice,468720,Sekaninova,1000055248,211780
Číslo domovní,189,číslo popisné,1000055248,211780
Číslo orientační,58,,1000055248,211780
Typ adresy,1,Hlavní adresa,1000055248,211780
Zadní vchod,0,ne,1000055248,211780
Identifikátor adresy RSO (IDADR),30000047236,,1000055248,211780
Identifikátor adresy ISEO (PČD),2451715,,1000055248,211780
Identifikátor adresy RÚIAN,21737428,,1000055248,211780
Okres,40924,Praha,1000055256,211781
Městský obvod Prahy,27,Praha 2,1000055256,211781
Obec,554782,Praha,1000055256,211781
Část obce,490156,Nusle,1000055256,211781
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000055256,211781
PSČ a adresní pošta,12800,Praha 28,1000055256,211781
Ulice,468720,Sekaninova,1000055256,211781
Číslo domovní,192,číslo popisné,1000055256,211781
Číslo orientační,48,,1000055256,211781
Typ adresy,1,Hlavní adresa,1000055256,211781
Zadní vchod,0,ne,1000055256,211781
Identifikátor adresy RSO (IDADR),30000437115,,1000055256,211781
Identifikátor adresy ISEO (PČD),2451731,,1000055256,211781
Identifikátor adresy RÚIAN,21737444,,1000055256,211781
Okres,40924,Praha,1000055264,211782
Městský obvod Prahy,27,Praha 2,1000055264,211782
Obec,554782,Praha,1000055264,211782
Část obce,490156,Nusle,1000055264,211782
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000055264,211782
PSČ a adresní pošta,12800,Praha 28,1000055264,211782
Ulice,468720,Sekaninova,1000055264,211782
Číslo domovní,193,číslo popisné,1000055264,211782
Číslo orientační,50,,1000055264,211782
Typ adresy,1,Hlavní adresa,1000055264,211782
Zadní vchod,0,ne,1000055264,211782
Identifikátor adresy RSO (IDADR),30000437123,,1000055264,211782
Identifikátor adresy ISEO (PČD),2451732,,1000055264,211782
Identifikátor adresy RÚIAN,21737452,,1000055264,211782
Okres,40924,Praha,1000055299,211785
Městský obvod Prahy,27,Praha 2,1000055299,211785
Obec,554782,Praha,1000055299,211785
Část obce,490156,Nusle,1000055299,211785
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000055299,211785
PSČ a adresní pošta,12800,Praha 28,1000055299,211785
Ulice,463078,Oldřichova,1000055299,211785
Číslo domovní,196,číslo popisné,1000055299,211785
Číslo orientační,57,,1000055299,211785
Typ adresy,1,Hlavní adresa,1000055299,211785
Zadní vchod,0,ne,1000055299,211785
Identifikátor adresy RSO (IDADR),30000241245,,1000055299,211785
Identifikátor adresy ISEO (PČD),2451735,,1000055299,211785
Identifikátor adresy RÚIAN,21737495,,1000055299,211785
Okres,40924,Praha,1000055311,211787
Městský obvod Prahy,27,Praha 2,1000055311,211787
Obec,554782,Praha,1000055311,211787
Část obce,490156,Nusle,1000055311,211787
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000055311,211787
PSČ a adresní pošta,12800,Praha 28,1000055311,211787
Ulice,468720,Sekaninova,1000055311,211787
Číslo domovní,203,číslo popisné,1000055311,211787
Číslo orientační,56,,1000055311,211787
Typ adresy,1,Hlavní adresa,1000055311,211787
Zadní vchod,0,ne,1000055311,211787
Identifikátor adresy RSO (IDADR),30000437158,,1000055311,211787
Identifikátor adresy ISEO (PČD),2451736,,1000055311,211787
Identifikátor adresy RÚIAN,21737517,,1000055311,211787
Okres,40924,Praha,1000055477,211801
Městský obvod Prahy,27,Praha 2,1000055477,211801
Obec,554782,Praha,1000055477,211801
Část obce,490156,Nusle,1000055477,211801
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000055477,211801
PSČ a adresní pošta,12800,Praha 28,1000055477,211801
Ulice,468720,Sekaninova,1000055477,211801
Číslo domovní,275,číslo popisné,1000055477,211801
Číslo orientační,52,,1000055477,211801
Typ adresy,1,Hlavní adresa,1000055477,211801
Zadní vchod,0,ne,1000055477,211801
Identifikátor adresy RSO (IDADR),30000437263,,1000055477,211801
Identifikátor adresy ISEO (PČD),2451749,,1000055477,211801
Identifikátor adresy RÚIAN,21737711,,1000055477,211801
Okres,40924,Praha,1000055558,211809
Městský obvod Prahy,27,Praha 2,1000055558,211809
Obec,554782,Praha,1000055558,211809
Část obce,490156,Nusle,1000055558,211809
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000055558,211809
PSČ a adresní pošta,12800,Praha 28,1000055558,211809
Ulice,468720,Sekaninova,1000055558,211809
Číslo domovní,328,číslo popisné,1000055558,211809
Číslo orientační,54,,1000055558,211809
Typ adresy,1,Hlavní adresa,1000055558,211809
Zadní vchod,0,ne,1000055558,211809
Identifikátor adresy RSO (IDADR),30010946586,,1000055558,211809
Identifikátor adresy ISEO (PČD),2451758,,1000055558,211809
Identifikátor adresy RÚIAN,21737801,,1000055558,211809
Okres,40924,Praha,1000056473,211886
Městský obvod Prahy,27,Praha 2,1000056473,211886
Obec,554782,Praha,1000056473,211886
Část obce,490156,Nusle,1000056473,211886
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000056473,211886
PSČ a adresní pošta,12800,Praha 28,1000056473,211886
Ulice,462462,Nezamyslova,1000056473,211886
Číslo domovní,621,číslo popisné,1000056473,211886
Číslo orientační,12,,1000056473,211886
Typ adresy,1,Hlavní adresa,1000056473,211886
Zadní vchod,0,ne,1000056473,211886
Identifikátor adresy RSO (IDADR),30000295418,,1000056473,211886
Identifikátor adresy ISEO (PČD),2451841,,1000056473,211886
Identifikátor adresy RÚIAN,21738840,,1000056473,211886
Okres,40924,Praha,1000056538,211891
Městský obvod Prahy,27,Praha 2,1000056538,211891
Obec,554782,Praha,1000056538,211891
Část obce,490156,Nusle,1000056538,211891
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000056538,211891
PSČ a adresní pošta,12800,Praha 28,1000056538,211891
Ulice,462462,Nezamyslova,1000056538,211891
Číslo domovní,638,číslo popisné,1000056538,211891
Číslo orientační,14,,1000056538,211891
Typ adresy,1,Hlavní adresa,1000056538,211891
Zadní vchod,0,ne,1000056538,211891
Identifikátor adresy RSO (IDADR),30000398110,,1000056538,211891
Identifikátor adresy ISEO (PČD),2451847,,1000056538,211891
Identifikátor adresy RÚIAN,21738912,,1000056538,211891
Okres,40924,Praha,1000056546,211892
Městský obvod Prahy,27,Praha 2,1000056546,211892
Obec,554782,Praha,1000056546,211892
Část obce,490156,Nusle,1000056546,211892
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000056546,211892
PSČ a adresní pošta,12800,Praha 28,1000056546,211892
Ulice,462462,Nezamyslova,1000056546,211892
Číslo domovní,639,číslo popisné,1000056546,211892
Číslo orientační,16,,1000056546,211892
Typ adresy,1,Hlavní adresa,1000056546,211892
Zadní vchod,0,ne,1000056546,211892
Identifikátor adresy RSO (IDADR),30000024163,,1000056546,211892
Identifikátor adresy ISEO (PČD),2451848,,1000056546,211892
Identifikátor adresy RÚIAN,21738921,,1000056546,211892
Okres,40924,Praha,1000056678,211903
Městský obvod Prahy,27,Praha 2,1000056678,211903
Obec,554782,Praha,1000056678,211903
Část obce,490156,Nusle,1000056678,211903
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000056678,211903
PSČ a adresní pošta,12800,Praha 28,1000056678,211903
Ulice,468720,Sekaninova,1000056678,211903
Číslo domovní,710,číslo popisné,1000056678,211903
Číslo orientační,22,,1000056678,211903
Typ adresy,1,Hlavní adresa,1000056678,211903
Zadní vchod,0,ne,1000056678,211903
Identifikátor adresy RSO (IDADR),30000398209,,1000056678,211903
Identifikátor adresy ISEO (PČD),2451874,,1000056678,211903
Identifikátor adresy RÚIAN,21739099,,1000056678,211903
Okres,40924,Praha,1000056686,211904
Městský obvod Prahy,27,Praha 2,1000056686,211904
Obec,554782,Praha,1000056686,211904
Část obce,490156,Nusle,1000056686,211904
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000056686,211904
PSČ a adresní pošta,12800,Praha 28,1000056686,211904
Ulice,468720,Sekaninova,1000056686,211904
Číslo domovní,711,číslo popisné,1000056686,211904
Číslo orientační,24,,1000056686,211904
Typ adresy,1,Hlavní adresa,1000056686,211904
Zadní vchod,0,ne,1000056686,211904
Identifikátor adresy RSO (IDADR),30000398217,,1000056686,211904
Identifikátor adresy ISEO (PČD),2451875,,1000056686,211904
Identifikátor adresy RÚIAN,21739102,,1000056686,211904
Okres,40924,Praha,1000055841,211834
Městský obvod Prahy,27,Praha 2,1000055841,211834
Obec,554782,Praha,1000055841,211834
Část obce,490156,Nusle,1000055841,211834
"Městský obvod, městská část (Prahy či statutárního města)",500089,Praha 2,1000055841,211834
PSČ a adresní pošta,12800,Praha 28,1000055841,211834
Ulice,463281,Ostrčilovo nám.,1000055841,211834
Číslo domovní,462,číslo popisné,1000055841,211834
Číslo orientační,4,,1000055841,211834
Typ adresy,1,Hlavní adresa,1000055841,211834
Zadní vchod,0,ne,1000055841,211834
Identifikátor adresy RSO (IDADR),30000047406,,1000055841,211834
Identifikátor adresy ISEO (PČD),NA,,1000055841,211834
Identifikátor adresy RÚIAN,21738122,,1000055841,211834
Okres,40924,Praha,1000154912,684527
Městský obvod Prahy,43,Praha 4,1000154912,684527
Obec,554782,Praha,1000154912,684527
Část obce,490156,Nusle,1000154912,684527
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154912,684527
PSČ a adresní pošta,14000,Praha 4,1000154912,684527
Ulice,463698,5. května,1000154912,684527
Číslo domovní,451,číslo popisné,1000154912,684527
Číslo orientační,25,,1000154912,684527
Typ adresy,1,Hlavní adresa,1000154912,684527
Zadní vchod,0,ne,1000154912,684527
Identifikátor adresy RSO (IDADR),30000511668,,1000154912,684527
Identifikátor adresy ISEO (PČD),2471078,,1000154912,684527
Identifikátor adresy RÚIAN,21944342,,1000154912,684527
Okres,40924,Praha,1000157652,220032
Městský obvod Prahy,43,Praha 4,1000157652,220032
