udaj,kod,url,budid,idob
V Registru sčítacích obvodů a budov:,1000055248,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
V Informačním systému katastru nemovitostí:,892757101,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
V informačním systému základního registru RÚIAN:,21690944,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
V Registru sčítacích obvodů a budov:,1000055256,buddet.jsp?budid=211781&idob=1000055256&b=0,211781,1000055256
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211781&idob=1000055256&b=0,211781,1000055256
V Informačním systému katastru nemovitostí:,892182101,buddet.jsp?budid=211781&idob=1000055256&b=0,211781,1000055256
V informačním systému základního registru RÚIAN:,21690952,buddet.jsp?budid=211781&idob=1000055256&b=0,211781,1000055256
V Registru sčítacích obvodů a budov:,1000055264,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
V Informačním systému katastru nemovitostí:,892192101,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
V informačním systému základního registru RÚIAN:,21690961,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
V Registru sčítacích obvodů a budov:,1000055299,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
V Informačním systému katastru nemovitostí:,892767101,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
V informačním systému základního registru RÚIAN:,21690995,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
V Registru sčítacích obvodů a budov:,1000055311,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
V Informačním systému katastru nemovitostí:,892273101,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
V informačním systému základního registru RÚIAN:,21691011,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
V Registru sčítacích obvodů a budov:,1000055477,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
V Informačním systému katastru nemovitostí:,892193101,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
V informačním systému základního registru RÚIAN:,21691177,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
V Registru sčítacích obvodů a budov:,1000055558,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
V Informačním systému katastru nemovitostí:,892686101,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
V informačním systému základního registru RÚIAN:,21691258,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
V Registru sčítacích obvodů a budov:,1000056473,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
V Informačním systému katastru nemovitostí:,892814101,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
V informačním systému základního registru RÚIAN:,21692173,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
V Registru sčítacích obvodů a budov:,1000056538,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
V Informačním systému katastru nemovitostí:,893192101,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
V informačním systému základního registru RÚIAN:,21692238,buddet.jsp?budid=211891&idob=1000056538&b=0,211891,1000056538
V Registru sčítacích obvodů a budov:,1000056546,buddet.jsp?budid=211892&idob=1000056546&b=0,211892,1000056546
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211892&idob=1000056546&b=0,211892,1000056546
V Informačním systému katastru nemovitostí:,893190101,buddet.jsp?budid=211892&idob=1000056546&b=0,211892,1000056546
V informačním systému základního registru RÚIAN:,21692246,buddet.jsp?budid=211892&idob=1000056546&b=0,211892,1000056546
V Registru sčítacích obvodů a budov:,1000056678,buddet.jsp?budid=211903&idob=1000056678&b=0,211903,1000056678
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211903&idob=1000056678&b=0,211903,1000056678
V Informačním systému katastru nemovitostí:,892815101,buddet.jsp?budid=211903&idob=1000056678&b=0,211903,1000056678
V informačním systému základního registru RÚIAN:,21692378,buddet.jsp?budid=211903&idob=1000056678&b=0,211903,1000056678
V Registru sčítacích obvodů a budov:,1000056686,buddet.jsp?budid=211904&idob=1000056686&b=0,211904,1000056686
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211904&idob=1000056686&b=0,211904,1000056686
V Informačním systému katastru nemovitostí:,892816101,buddet.jsp?budid=211904&idob=1000056686&b=0,211904,1000056686
V informačním systému základního registru RÚIAN:,21692386,buddet.jsp?budid=211904&idob=1000056686&b=0,211904,1000056686
V Registru sčítacích obvodů a budov:,1000055841,buddet.jsp?budid=211834&idob=1000055841&b=0,211834,1000055841
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=211834&idob=1000055841&b=0,211834,1000055841
V Informačním systému katastru nemovitostí:,892124101,buddet.jsp?budid=211834&idob=1000055841&b=0,211834,1000055841
V informačním systému základního registru RÚIAN:,21691541,buddet.jsp?budid=211834&idob=1000055841&b=0,211834,1000055841
V Registru sčítacích obvodů a budov:,1000154912,buddet.jsp?budid=684527&idob=1000154912&b=0,684527,1000154912
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=684527&idob=1000154912&b=0,684527,1000154912
V Informačním systému katastru nemovitostí:,893145101,buddet.jsp?budid=684527&idob=1000154912&b=0,684527,1000154912
V informačním systému základního registru RÚIAN:,21778663,buddet.jsp?budid=684527&idob=1000154912&b=0,684527,1000154912
V Registru sčítacích obvodů a budov:,1000157652,buddet.jsp?budid=220032&idob=1000157652&b=0,220032,1000157652
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220032&idob=1000157652&b=0,220032,1000157652
V Informačním systému katastru nemovitostí:,892843101,buddet.jsp?budid=220032&idob=1000157652&b=0,220032,1000157652
V informačním systému základního registru RÚIAN:,21781427,buddet.jsp?budid=220032&idob=1000157652&b=0,220032,1000157652
V Registru sčítacích obvodů a budov:,1000158110,buddet.jsp?budid=220072&idob=1000158110&b=0,220072,1000158110
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220072&idob=1000158110&b=0,220072,1000158110
V Informačním systému katastru nemovitostí:,893041101,buddet.jsp?budid=220072&idob=1000158110&b=0,220072,1000158110
V informačním systému základního registru RÚIAN:,21781885,buddet.jsp?budid=220072&idob=1000158110&b=0,220072,1000158110
V Registru sčítacích obvodů a budov:,1000159094,buddet.jsp?budid=220159&idob=1000159094&b=0,220159,1000159094
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220159&idob=1000159094&b=0,220159,1000159094
V Informačním systému katastru nemovitostí:,893392101,buddet.jsp?budid=220159&idob=1000159094&b=0,220159,1000159094
V informačním systému základního registru RÚIAN:,21782865,buddet.jsp?budid=220159&idob=1000159094&b=0,220159,1000159094
V Registru sčítacích obvodů a budov:,1000159108,buddet.jsp?budid=220160&idob=1000159108&b=0,220160,1000159108
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220160&idob=1000159108&b=0,220160,1000159108
V Informačním systému katastru nemovitostí:,892868101,buddet.jsp?budid=220160&idob=1000159108&b=0,220160,1000159108
V informačním systému základního registru RÚIAN:,21782873,buddet.jsp?budid=220160&idob=1000159108&b=0,220160,1000159108
V Registru sčítacích obvodů a budov:,1000159116,buddet.jsp?budid=220161&idob=1000159116&b=0,220161,1000159116
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220161&idob=1000159116&b=0,220161,1000159116
V Informačním systému katastru nemovitostí:,893175101,buddet.jsp?budid=220161&idob=1000159116&b=0,220161,1000159116
V informačním systému základního registru RÚIAN:,21782881,buddet.jsp?budid=220161&idob=1000159116&b=0,220161,1000159116
V Registru sčítacích obvodů a budov:,1000158462,buddet.jsp?budid=220105&idob=1000158462&b=0,220105,1000158462
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220105&idob=1000158462&b=0,220105,1000158462
V Informačním systému katastru nemovitostí:,892433101,buddet.jsp?budid=220105&idob=1000158462&b=0,220105,1000158462
V informačním systému základního registru RÚIAN:,21782211,buddet.jsp?budid=220105&idob=1000158462&b=0,220105,1000158462
V Registru sčítacích obvodů a budov:,1000158471,buddet.jsp?budid=220106&idob=1000158471&b=0,220106,1000158471
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220106&idob=1000158471&b=0,220106,1000158471
V Informačním systému katastru nemovitostí:,891667101,buddet.jsp?budid=220106&idob=1000158471&b=0,220106,1000158471
V informačním systému základního registru RÚIAN:,21782229,buddet.jsp?budid=220106&idob=1000158471&b=0,220106,1000158471
V Registru sčítacích obvodů a budov:,1000158489,buddet.jsp?budid=220107&idob=1000158489&b=0,220107,1000158489
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220107&idob=1000158489&b=0,220107,1000158489
V Informačním systému katastru nemovitostí:,892378101,buddet.jsp?budid=220107&idob=1000158489&b=0,220107,1000158489
V informačním systému základního registru RÚIAN:,21782237,buddet.jsp?budid=220107&idob=1000158489&b=0,220107,1000158489
V Registru sčítacích obvodů a budov:,1000159884,buddet.jsp?budid=220227&idob=1000159884&b=0,220227,1000159884
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220227&idob=1000159884&b=0,220227,1000159884
V Informačním systému katastru nemovitostí:,893655101,buddet.jsp?budid=220227&idob=1000159884&b=0,220227,1000159884
V informačním systému základního registru RÚIAN:,21783659,buddet.jsp?budid=220227&idob=1000159884&b=0,220227,1000159884
V Registru sčítacích obvodů a budov:,1000159892,buddet.jsp?budid=3349346&idob=1000159892&b=0,3349346,1000159892
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=3349346&idob=1000159892&b=0,3349346,1000159892
V Informačním systému katastru nemovitostí:,893655101,buddet.jsp?budid=3349346&idob=1000159892&b=0,3349346,1000159892
V informačním systému základního registru RÚIAN:,21783659,buddet.jsp?budid=3349346&idob=1000159892&b=0,3349346,1000159892
V Registru sčítacích obvodů a budov:,1000159906,buddet.jsp?budid=3349347&idob=1000159906&b=0,3349347,1000159906
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=3349347&idob=1000159906&b=0,3349347,1000159906
V Informačním systému katastru nemovitostí:,893655101,buddet.jsp?budid=3349347&idob=1000159906&b=0,3349347,1000159906
V informačním systému základního registru RÚIAN:,21783659,buddet.jsp?budid=3349347&idob=1000159906&b=0,3349347,1000159906
V Registru sčítacích obvodů a budov:,1000161269,buddet.jsp?budid=220347&idob=1000161269&b=0,220347,1000161269
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220347&idob=1000161269&b=0,220347,1000161269
V Informačním systému katastru nemovitostí:,892380101,buddet.jsp?budid=220347&idob=1000161269&b=0,220347,1000161269
V informačním systému základního registru RÚIAN:,21785023,buddet.jsp?budid=220347&idob=1000161269&b=0,220347,1000161269
V Registru sčítacích obvodů a budov:,1000161374,buddet.jsp?budid=220356&idob=1000161374&b=0,220356,1000161374
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220356&idob=1000161374&b=0,220356,1000161374
V Informačním systému katastru nemovitostí:,892301101,buddet.jsp?budid=220356&idob=1000161374&b=0,220356,1000161374
V informačním systému základního registru RÚIAN:,21785139,buddet.jsp?budid=220356&idob=1000161374&b=0,220356,1000161374
V Registru sčítacích obvodů a budov:,1000153932,buddet.jsp?budid=219703&idob=1000153932&b=0,219703,1000153932
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219703&idob=1000153932&b=0,219703,1000153932
V Informačním systému katastru nemovitostí:,892140101,buddet.jsp?budid=219703&idob=1000153932&b=0,219703,1000153932
V informačním systému základního registru RÚIAN:,21777683,buddet.jsp?budid=219703&idob=1000153932&b=0,219703,1000153932
V Registru sčítacích obvodů a budov:,1000154033,buddet.jsp?budid=219715&idob=1000154033&b=0,219715,1000154033
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219715&idob=1000154033&b=0,219715,1000154033
V Informačním systému katastru nemovitostí:,892753101,buddet.jsp?budid=219715&idob=1000154033&b=0,219715,1000154033
V informačním systému základního registru RÚIAN:,21777781,buddet.jsp?budid=219715&idob=1000154033&b=0,219715,1000154033
V Registru sčítacích obvodů a budov:,1000154041,buddet.jsp?budid=219716&idob=1000154041&b=0,219716,1000154041
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219716&idob=1000154041&b=0,219716,1000154041
V Informačním systému katastru nemovitostí:,892275101,buddet.jsp?budid=219716&idob=1000154041&b=0,219716,1000154041
