Údaj,Hodnota,Kód,Text,url,budid,idob
Druh vlastníka budovy:,NA,4,ostatní právnické osoby,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Počet všech podlaží budovy:,5,5,5 podlaží,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Počet bytů v budově (vchodu):,13,7,10-14 bytů,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Vybavení budovy výtahem:,NA,2,bez výtahu,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Obestavěný prostor budovy v m3:,7830,3,2 000 a více,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Zastavěná plocha budovy v m2:,234,3,200 a více,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Podlahová plocha budovy v m2:,1250,4,500 a více,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Materiál nosných zdí budovy:,NA,10,"Kámen, cihly, tvárnice vč. kombinací",buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Připojení budovy na odpad:,NA,1,Přípoj na kanalizační síť,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Připojení budovy na vodovod:,NA,1,s vodovodem,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Způsob vytápění budovy:,NA,4,jiné (i bez topení),buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Připojení budovy na plyn:,NA,1,Plyn z veřejné sítě,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Druh plynu:,NA,NA,,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Topné médium - hlavní:,NA,NA,,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Topné médium - vedlejší:,NA,NA,,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Počet evidovaných obyvatel v budově:,NA,7,20-29,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
Druh domu dle SLDB:,NA,4,Bytový dům,buddet.jsp?budid=211780&idob=1000055248&b=0,211780,1000055248
